[H[2J[3J------------  ---------------  ---------------  -------------  --------------
Fitness type  Population Size  Individual Size  Mutation Rate  Crossover Rate
rosenbrock    100              10               0.001          0.3
------------  ---------------  ---------------  -------------  --------------
##############################################################
Generation 	 Max Fit 	 Average Fit 	 % same 	
1 		 2161.8057 	 805.9172 	 82.0000 %
2 		 2161.8057 	 1093.3919 	 91.0000 %
3 		 2643.3682 	 1468.4118 	 96.0000 %
4 		 1722.7432 	 1681.3914 	 100.0000 %
5 		 1722.7432 	 1690.4167 	 100.0000 %
6 		 1333.6807 	 1332.9307 	 100.0000 %
7 		 1367.3281 	 1366.0937 	 100.0000 %
8 		 1333.6807 	 1333.5307 	 100.0000 %
9 		 1333.6807 	 1333.4557 	 100.0000 %
10 		 1333.6807 	 1333.6057 	 99.0000 %
11 		 1333.6807 	 1333.6807 	 100.0000 %
12 		 411.9150 	 411.9150 	 100.0000 %
13 		 131.3682 	 131.3682 	 100.0000 %
14 		 835.5869 	 835.5869 	 100.0000 %
15 		 259.7744 	 259.7744 	 100.0000 %
16 		 259.7744 	 259.7744 	 100.0000 %
17 		 260.2744 	 260.2744 	 100.0000 %
18 		 260.2744 	 260.2744 	 100.0000 %
19 		 124.3369 	 124.3369 	 100.0000 %
20 		 98.7900 	 98.7900 	 100.0000 %
21 		 98.7900 	 98.7900 	 100.0000 %
22 		 98.7900 	 98.7900 	 100.0000 %
23 		 98.7900 	 98.7900 	 100.0000 %
24 		 98.7900 	 98.7900 	 100.0000 %
25 		 208.2031 	 208.2031 	 100.0000 %
26 		 208.2031 	 208.2031 	 100.0000 %
27 		 245.7031 	 245.7031 	 100.0000 %
28 		 428.4531 	 428.4531 	 100.0000 %
29 		 58.5000 	 58.5000 	 100.0000 %
30 		 762.5000 	 762.5000 	 100.0000 %
31 		 1145.3125 	 1145.3125 	 100.0000 %
32 		 1145.3125 	 1145.3125 	 100.0000 %
33 		 1145.3125 	 1145.3125 	 100.0000 %
34 		 455.5625 	 455.5625 	 100.0000 %
35 		 5.5625 	 5.5625 	 100.0000 %
36 		 5.5625 	 5.5625 	 100.0000 %
37 		 455.5625 	 455.5625 	 100.0000 %
38 		 455.5625 	 455.5625 	 100.0000 %
39 		 455.5625 	 455.5625 	 100.0000 %
40 		 568.0625 	 568.0625 	 100.0000 %
41 		 194.6494 	 194.6494 	 100.0000 %
42 		 194.6494 	 194.6494 	 100.0000 %
43 		 16.5244 	 16.5244 	 100.0000 %
44 		 194.6494 	 194.6494 	 100.0000 %
45 		 232.3525 	 232.3525 	 100.0000 %
46 		 232.3525 	 232.3525 	 100.0000 %
47 		 360.0869 	 360.0869 	 100.0000 %
48 		 230.9775 	 230.9775 	 100.0000 %
49 		 10.0088 	 10.0088 	 100.0000 %
50 		 24.7275 	 24.7275 	 100.0000 %
51 		 24.7275 	 24.7275 	 100.0000 %
52 		 24.7275 	 24.7275 	 100.0000 %
53 		 81.9619 	 81.9619 	 100.0000 %
54 		 81.9619 	 81.9619 	 100.0000 %
55 		 162.8213 	 162.8213 	 100.0000 %
56 		 272.6807 	 272.6807 	 100.0000 %
57 		 272.6807 	 272.6807 	 100.0000 %
58 		 272.6807 	 272.6807 	 100.0000 %
59 		 700.8057 	 700.8057 	 100.0000 %
60 		 597.2031 	 597.2031 	 100.0000 %
61 		 461.7432 	 461.7432 	 100.0000 %
62 		 461.7432 	 461.7432 	 100.0000 %
63 		 700.8057 	 700.8057 	 100.0000 %
64 		 2914.1494 	 2914.1494 	 100.0000 %
65 		 2197.8281 	 2197.8281 	 100.0000 %
66 		 1360.3281 	 1360.3281 	 100.0000 %
67 		 1360.3281 	 1360.3281 	 100.0000 %
68 		 1550.9531 	 1550.9531 	 100.0000 %
69 		 225.2500 	 225.2500 	 100.0000 %
70 		 225.2500 	 225.2500 	 100.0000 %
71 		 6.2500 	 6.2500 	 100.0000 %
72 		 6.2500 	 6.2500 	 100.0000 %
73 		 227.2500 	 227.2500 	 100.0000 %
74 		 158.5000 	 158.5000 	 100.0000 %
75 		 264.3125 	 264.3125 	 100.0000 %
76 		 264.3125 	 264.3125 	 100.0000 %
77 		 266.3125 	 266.3125 	 100.0000 %
78 		 266.3125 	 266.3125 	 100.0000 %
79 		 128.8125 	 128.8125 	 100.0000 %
80 		 78.8125 	 78.8125 	 100.0000 %
81 		 3.8125 	 3.8125 	 100.0000 %
82 		 3.8125 	 3.8125 	 100.0000 %
83 		 3.8125 	 3.8125 	 100.0000 %
84 		 3.8125 	 3.8125 	 100.0000 %
85 		 1.0000 	 1.0000 	 100.0000 %
86 		 7.2500 	 7.2500 	 100.0000 %
87 		 157.2500 	 157.2500 	 100.0000 %
88 		 190.0625 	 190.0625 	 100.0000 %
89 		 190.0625 	 190.0625 	 100.0000 %
90 		 127.5625 	 127.5625 	 100.0000 %
91 		 127.5625 	 127.5625 	 100.0000 %
92 		 127.5625 	 127.5625 	 100.0000 %
93 		 2.5625 	 2.5625 	 100.0000 %
94 		 0.9531 	 0.9531 	 100.0000 %
95 		 0.9531 	 0.9531 	 100.0000 %
96 		 0.9531 	 0.9531 	 100.0000 %
97 		 2.5625 	 2.5625 	 100.0000 %
98 		 40.0625 	 40.0625 	 100.0000 %
99 		 40.0625 	 40.0625 	 100.0000 %
100 		 57.2500 	 57.2500 	 100.0000 %
101 		 57.2500 	 57.2500 	 100.0000 %
102 		 301.5713 	 301.5713 	 100.0000 %
103 		 301.5713 	 301.5713 	 100.0000 %
104 		 312.5088 	 312.5088 	 100.0000 %
105 		 312.5088 	 312.5088 	 100.0000 %
106 		 312.5088 	 312.5088 	 100.0000 %
107 		 358.2119 	 358.2119 	 100.0000 %
108 		 513.4463 	 513.4463 	 100.0000 %
109 		 406.4150 	 406.4150 	 100.0000 %
110 		 152.5088 	 152.5088 	 100.0000 %
111 		 99.5400 	 99.5400 	 100.0000 %
112 		 97.0400 	 97.0400 	 100.0000 %
113 		 37.1494 	 37.1494 	 100.0000 %
114 		 406.2900 	 406.2900 	 100.0000 %
115 		 244.2031 	 244.2031 	 100.0000 %
116 		 31.7031 	 31.7031 	 100.0000 %
117 		 31.7031 	 31.7031 	 100.0000 %
118 		 58.6338 	 58.6338 	 100.0000 %
119 		 58.6338 	 58.6338 	 100.0000 %
120 		 58.6338 	 58.6338 	 100.0000 %
121 		 58.6338 	 58.6338 	 100.0000 %
122 		 31.7031 	 31.7031 	 100.0000 %
123 		 58.6338 	 58.6338 	 100.0000 %
124 		 2.3682 	 2.3682 	 100.0000 %
125 		 0.9531 	 0.9531 	 100.0000 %
126 		 0.9531 	 0.9531 	 100.0000 %
127 		 10.3281 	 10.3281 	 100.0000 %
128 		 26.6025 	 26.6025 	 100.0000 %
129 		 103.1650 	 103.1650 	 100.0000 %
130 		 103.1650 	 103.1650 	 100.0000 %
131 		 1418.7588 	 1418.7588 	 100.0000 %
132 		 328.5781 	 328.5781 	 100.0000 %
133 		 10.3281 	 10.3281 	 100.0000 %
134 		 10.3281 	 10.3281 	 100.0000 %
135 		 156.2500 	 156.2500 	 100.0000 %
136 		 156.2500 	 156.2500 	 100.0000 %
137 		 156.2500 	 156.2500 	 100.0000 %
138 		 100.0000 	 100.0000 	 100.0000 %
139 		 104.0000 	 104.0000 	 100.0000 %
140 		 160.2500 	 160.2500 	 100.0000 %
141 		 160.2500 	 160.2500 	 100.0000 %
142 		 104.0000 	 104.0000 	 100.0000 %
143 		 104.0000 	 104.0000 	 100.0000 %
144 		 104.0000 	 104.0000 	 100.0000 %
145 		 249.2031 	 249.2031 	 100.0000 %
146 		 1657.9531 	 1657.9531 	 100.0000 %
147 		 2047.3525 	 2047.3525 	 100.0000 %
148 		 2161.8057 	 2161.8057 	 100.0000 %
149 		 2047.3525 	 2047.3525 	 100.0000 %
150 		 2047.3525 	 2047.3525 	 100.0000 %
151 		 841.2119 	 841.2119 	 100.0000 %
152 		 841.2119 	 841.2119 	 100.0000 %
153 		 2523.9150 	 2523.9150 	 100.0000 %
154 		 57.4463 	 57.4463 	 100.0000 %
155 		 57.4463 	 57.4463 	 100.0000 %
156 		 57.4463 	 57.4463 	 100.0000 %
157 		 53.9463 	 53.9463 	 100.0000 %
158 		 53.9463 	 53.9463 	 100.0000 %
159 		 87.9531 	 87.9531 	 100.0000 %
160 		 53.9463 	 53.9463 	 100.0000 %
161 		 7.0713 	 7.0713 	 100.0000 %
162 		 0.4150 	 0.4150 	 100.0000 %
163 		 0.4150 	 0.4150 	 100.0000 %
164 		 13.6807 	 13.6807 	 100.0000 %
165 		 13.6807 	 13.6807 	 100.0000 %
166 		 13.6807 	 13.6807 	 100.0000 %
167 		 18.0625 	 18.0625 	 100.0000 %
168 		 167.0713 	 167.0713 	 100.0000 %
169 		 132.8125 	 132.8125 	 100.0000 %
170 		 132.8125 	 132.8125 	 100.0000 %
171 		 132.8125 	 132.8125 	 100.0000 %
172 		 78.8125 	 78.8125 	 100.0000 %
173 		 78.8125 	 78.8125 	 100.0000 %
174 		 128.8125 	 128.8125 	 100.0000 %
175 		 99.5400 	 99.5400 	 100.0000 %
176 		 125.7119 	 125.7119 	 100.0000 %
177 		 125.7119 	 125.7119 	 100.0000 %
178 		 125.7119 	 125.7119 	 100.0000 %
179 		 125.7119 	 125.7119 	 100.0000 %
180 		 187.4307 	 187.4307 	 100.0000 %
181 		 222.9775 	 222.9775 	 100.0000 %
182 		 408.9150 	 408.9150 	 100.0000 %
183 		 56.5713 	 56.5713 	 100.0000 %
184 		 155.0088 	 155.0088 	 100.0000 %
185 		 222.9775 	 222.9775 	 100.0000 %
186 		 220.4775 	 220.4775 	 100.0000 %
187 		 220.4775 	 220.4775 	 100.0000 %
188 		 220.4775 	 220.4775 	 100.0000 %
189 		 458.3682 	 458.3682 	 100.0000 %
190 		 515.9463 	 515.9463 	 100.0000 %
191 		 61.2588 	 61.2588 	 100.0000 %
192 		 26.1025 	 26.1025 	 100.0000 %
193 		 26.1025 	 26.1025 	 100.0000 %
194 		 26.1025 	 26.1025 	 100.0000 %
195 		 123.0869 	 123.0869 	 100.0000 %
196 		 141.0781 	 141.0781 	 100.0000 %
197 		 96.9150 	 96.9150 	 100.0000 %
198 		 37.5244 	 37.5244 	 100.0000 %
199 		 130.2432 	 130.2432 	 100.0000 %
200 		 37.5244 	 37.5244 	 100.0000 %
201 		 54.3213 	 54.3213 	 100.0000 %
202 		 54.3213 	 54.3213 	 100.0000 %
203 		 103.5400 	 103.5400 	 100.0000 %
204 		 312.1338 	 312.1338 	 100.0000 %
205 		 160.5713 	 160.5713 	 100.0000 %
206 		 160.5713 	 160.5713 	 100.0000 %
207 		 130.8682 	 130.8682 	 100.0000 %
208 		 12.9307 	 12.9307 	 100.0000 %
209 		 40.6494 	 40.6494 	 100.0000 %
210 		 466.4932 	 466.4932 	 100.0000 %
211 		 572.2744 	 572.2744 	 100.0000 %
212 		 1150.3994 	 1150.3994 	 100.0000 %
213 		 863.4531 	 863.4531 	 100.0000 %
214 		 863.4531 	 863.4531 	 100.0000 %
215 		 863.4531 	 863.4531 	 100.0000 %
216 		 863.4531 	 863.4531 	 100.0000 %
217 		 633.2275 	 633.2275 	 100.0000 %
218 		 633.2275 	 633.2275 	 100.0000 %
219 		 513.6963 	 513.6963 	 100.0000 %
220 		 633.2275 	 633.2275 	 100.0000 %
221 		 193.3994 	 193.3994 	 100.0000 %
